uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:22BH6K8RlpwNzIINvWS4Jj,0.61,0.731,-5.187,0.116,0.0281,0.0,0.272,0.724,97.935
spotify:track:45OALDywAY1JVLqI8eKF9y,0.653,0.695,-5.604,0.0752,0.0463,0.0,0.136,0.238,125.231
spotify:track:5W3UniuRMkHHIpaiQo1hAW,0.747,0.716,-5.071,0.0798,0.26,0.0,0.0907,0.487,123.979
spotify:track:7y9iMe8SOB6z3NoHE2OfXl,0.675,0.751,-3.539,0.0296,0.0604,0.0,0.0893,0.612,118.384
spotify:track:4ZPdnqOaT0kkrsl9ppWc1V,0.502,0.837,-4.731,0.0448,0.0444,0.0,0.101,0.362,144.108
spotify:track:16w8ZGVSjI4TlTLV8VimBY,0.626,0.571,-7.461,0.0327,0.25,0.0,0.0946,0.164,129.959
spotify:track:3Q3myFA7q4Op95DOpHplaY,0.745,0.593,-6.35,0.0526,0.00522,5.25e-06,0.123,0.17,111.002
spotify:track:4qULqxfCRhJAXVc75UupQB,0.704,0.722,-3.524,0.045,0.0522,0.0,0.0645,0.675,122.094
spotify:track:1rKqsfuQVUFhROVwcoGJGY,0.474,0.565,-5.238,0.0309,0.134,0.0,0.0761,0.275,101.896
spotify:track:1r1WtSrPbAOYHE7zwq4eqK,0.461,0.696,-5.752,0.0486,0.015,0.000491,0.21,0.311,180.006
spotify:track:48fv3AV2ag6l8t5JGF39LL,0.637,0.871,-6.069,0.0808,0.226,0.0,0.0635,0.438,138.898
spotify:track:3EVooCKm9XbvXsfgjhGDAB,0.474,0.537,-6.77,0.0649,0.0758,0.0,0.316,0.335,90.103
spotify:track:4h0zU3O9R5xzuTmNO7dNDU,0.71,0.0565,-15.099,0.0534,0.965,0.0,0.0889,0.348,123.994
spotify:track:2IO7yf562c1zLzpanal1DT,0.731,0.58,-7.328,0.0399,0.223,0.0,0.129,0.319,119.997
spotify:track:1zVhMuH7agsRe6XkljIY4U,0.439,0.489,-6.286,0.0368,0.132,0.000643,0.114,0.253,143.808
spotify:track:5cbpoIu3YjoOwbBDGUEp3P,0.766,0.519,-7.355,0.0366,0.098,0.0,0.0855,0.612,129.972
spotify:track:6SpLc7EXZIPpy0sVko0aoU,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
spotify:track:2wv4crezvYfGukgKl6XJrW,0.68,0.535,-6.477,0.0343,0.272,4.4e-05,0.617,0.314,116.016
