uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:68vMDFui7uTbw9OQcyB0gD,0.83,0.569,-7.737,0.165,0.419,0.0,0.156,0.858,129.968
spotify:track:1Zv6zo71iDXH07Lin7hxMg,0.699,0.562,-5.573,0.253,0.213,0.0,0.42,0.471,104.995
spotify:track:6Qh3Yf7CGQExVlZAe5T668,0.871,0.501,-6.791,0.0453,0.0989,0.43,0.0822,0.853,122.016
spotify:track:6e4ne0tPa87okwHyfcLRxP,0.914,0.53,-8.066,0.318,0.175,0.0,0.173,0.795,140.001
spotify:track:6ZUOfr3K6xFct3j9T1PpOf,0.925,0.651,-8.361,0.0417,0.0649,0.00958,0.259,0.823,129.994
spotify:track:5DHtiiUKhOpVj6j6WWor5s,0.815,0.613,-5.009,0.0323,0.713,0.0,0.114,0.46,94.979
spotify:track:4SVYS3DYewBe0HBPAn4CnF,0.761,0.446,-9.582,0.0589,0.633,0.00274,0.328,0.489,85.981
spotify:track:2qBZtpsdOb4SXRCYdTageW,0.886,0.303,-8.388,0.105,0.738,0.0248,0.335,0.68,84.976
spotify:track:69fmlRYmkSZOn0wk3j646H,0.819,0.659,-4.01,0.182,0.635,0.0,0.175,0.868,97.024
spotify:track:7eRJCsnC77QvpK68xihrVD,0.82,0.458,-10.207,0.37,0.592,4.52e-05,0.467,0.552,95.014
spotify:track:45WL8J05TjpjKSpKYhG495,0.738,0.43,-7.343,0.0737,0.751,1.48e-05,0.114,0.337,92.036
spotify:track:1dA1tlzwcJ3YDYsSul1m06,0.711,0.73,-4.979,0.0436,0.269,2.34e-06,0.109,0.604,93.015
spotify:track:5iu5nos978Xl0QRYqwvPIO,0.808,0.749,-3.99,0.0856,0.25,2.75e-05,0.234,0.925,107.977
spotify:track:4HPt01bjQGK7LHww0gNCGg,0.63,0.379,-8.589,0.562,0.608,0.0,0.0814,0.44,80.045
spotify:track:1fq8831poBYF0E8etl9BkN,0.817,0.483,-7.518,0.241,0.812,0.0,0.235,0.422,93.067
spotify:track:45jYkloDDVgE9VdARMP3zX,0.704,0.447,-8.04,0.25,0.0824,0.0,0.265,0.0589,110.742
spotify:track:0r2d00ZxDmCGyzI6kqUzIO,0.853,0.557,-5.786,0.264,0.386,0.0,0.0889,0.744,75.021
spotify:track:2F55YBLxW82MIvzdnHaacy,0.803,0.434,-6.673,0.034,0.554,0.0,0.183,0.641,90.003
spotify:track:3EhrOTY5Xlb0OOc8miuZGN,0.682,0.734,-5.892,0.0799,0.395,0.0,0.0684,0.738,91.204
spotify:track:4Lw3C847XKs2oO3Wo8aO80,0.747,0.441,-10.032,0.454,0.556,0.0,0.117,0.368,76.933
spotify:track:3fyx5Gt2ikkQqQ5PzsG0zi,0.794,0.495,-8.481,0.335,0.841,0.000308,0.0968,0.698,105.056
spotify:track:1iArAuiiDPjtZcwO33YeLF,0.747,0.618,-4.212,0.047,0.0742,0.0,0.107,0.621,102.038
spotify:track:2IgbYlOlFpiSFYnsqB39lM,0.597,0.486,-5.893,0.0986,0.331,0.0,0.14,0.397,137.68
spotify:track:1pz24zu5H9A0S1a2NKT4F0,0.855,0.58,-6.951,0.141,0.234,0.0,0.0965,0.518,96.998
spotify:track:0sAOiAiIlq3NU7xzM7oaf7,0.714,0.707,-4.873,0.102,0.33,0.0,0.213,0.824,95.227
spotify:track:3eHkFA3StDR9BU7EVrUFLs,0.62,0.644,-2.713,0.0447,0.314,0.0,0.105,0.502,145.87
spotify:track:3hHpCjJdBBw4KjizY8l72r,0.826,0.714,-5.92,0.0659,0.1,3.2e-06,0.256,0.858,120.019
spotify:track:4q9JLlC3HIhN4CDC6KlpYK,0.939,0.519,-5.911,0.12,0.0715,0.0,0.0658,0.826,135.054
spotify:track:27zrFrtUtWl2urlvjOn5xc,0.696,0.778,-4.653,0.0585,0.352,0.0,0.329,0.41,94.996
spotify:track:6Q6P0w0Cq8BxbujshtygHf,0.722,0.691,-2.667,0.0794,0.286,0.0,0.667,0.571,92.029
spotify:track:3OYuHSIBy3KrBDXG9Au5r8,0.708,0.676,-5.856,0.0316,0.458,9.66e-05,0.186,0.491,118.984
spotify:track:6BcOOZoCGPaUuEPGNqGQx2,0.538,0.436,-8.73,0.0504,0.726,0.0,0.151,0.37,87.111
spotify:track:19vA9vjtcyFNDrGixsYozl,0.757,0.624,-7.529,0.255,0.489,0.00853,0.102,0.485,87.017
spotify:track:2e8HPGx1Eo7zSqX7r56KF8,0.545,0.671,-5.453,0.086,0.163,0.0175,0.249,0.617,117.999
spotify:track:3IW5rhsRBxstifAnjQyUI9,0.681,0.785,-4.165,0.105,0.16,0.0,0.582,0.933,103.084
spotify:track:1VrpAZL277l0gnTBhSd3TH,0.894,0.508,-5.4,0.224,0.0538,9.45e-06,0.0745,0.24,90.002
spotify:track:7f5P2kfP16dELU9TOB53pL,0.735,0.49,-5.659,0.151,0.713,0.0,0.096,0.546,93.359
spotify:track:6SuEgkFfiESo1pMLSyAbl3,0.82,0.314,-11.732,0.0499,0.712,8.71e-05,0.0899,0.64,101.053
spotify:track:3wQX0pnRgzLSI1r4rD8pcV,0.675,0.867,-4.108,0.235,0.529,3.24e-06,0.132,0.844,104.012
spotify:track:1dN4Z7wZTQXLEl33RkMO3a,0.846,0.592,-6.452,0.28,0.146,0.0,0.258,0.757,134.024
spotify:track:6IFpwncCkKrXHyP0RuG9r6,0.642,0.642,-5.774,0.0725,0.426,7.74e-06,0.672,0.475,94.958
spotify:track:6txRAxfSDogqUd6BYzfocG,0.728,0.681,-6.099,0.178,0.255,0.0,0.116,0.692,109.921
spotify:track:6vs7hcMDl4l6BQKL9KE9pd,0.752,0.264,-10.956,0.0937,0.594,0.000132,0.107,0.184,86.001
spotify:track:14p5EKgbPx4U3P1j5JNHeh,0.776,0.392,-10.493,0.207,0.271,2.21e-06,0.14,0.438,87.98
spotify:track:6O4S5bDDOrhnHcVkwyAx1L,0.77,0.497,-6.937,0.0293,0.816,0.0,0.0763,0.235,114.991
spotify:track:3PWyoYwI4iHLnLWltMt4gd,0.758,0.402,-5.066,0.0459,0.411,0.0,0.217,0.519,92.109
spotify:track:6FZAc2XaVYc8G8jaDnBshv,0.509,0.502,-6.972,0.0915,0.765,0.0,0.396,0.341,79.16
spotify:track:0q3xk0VI0w7omVXYA09sVw,0.662,0.293,-11.311,0.122,0.49,4.79e-06,0.122,0.304,91.16
spotify:track:172yFZLpVdoUmTvWivZ2Rq,0.807,0.758,-5.693,0.104,0.442,0.0,0.0988,0.857,129.929
spotify:track:3uA8SjMyDtwtt0jLPMQbVD,0.512,0.765,-5.252,0.136,0.246,0.0,0.0573,0.519,169.709
