uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:2Fk0WwAqTBesLtKg97nojy,0.69,0.781,-5.101,0.0305,0.0873,2.28e-06,0.164,0.841,130.02
spotify:track:1YDprEDVX5H0WQj9aBiEdA,0.501,0.9,-4.366,0.0433,0.0586,0.0,0.218,0.943,160.096
spotify:track:0gRczqVHrEQQDyizJUtgRc,0.761,0.856,-3.65,0.0731,0.02,0.0,0.149,0.967,106.009
spotify:track:52VJwrmQflskeWoV0OmEEh,0.771,0.913,-2.884,0.0505,0.128,0.0,0.0732,0.924,110.584
spotify:track:6nM9Sr6MPcfpqwQTD7PZGi,0.787,0.848,-4.696,0.0549,0.0915,0.0,0.15,0.947,121.989
spotify:track:455AfCsOhhLPRc68sE01D8,0.649,0.815,-3.796,0.0415,0.00125,4.31e-05,0.671,0.765,126.03
spotify:track:55qBw1900pZKfXJ6Q9A2Lc,0.719,0.804,-4.581,0.0355,0.0132,3.02e-06,0.139,0.605,119.999
spotify:track:4ZxY5A1Bv27yu7RiT4RTOj,0.714,0.677,-6.163,0.0531,0.0289,0.0,0.173,0.777,95.984
spotify:track:0SJPThTy7ynySPF4euczx7,0.803,0.631,-4.213,0.0444,0.102,7.39e-06,0.0858,0.659,104.999
spotify:track:6w7rm1qPYT5q1rBdxlGoVf,0.535,0.509,-5.405,0.0275,0.578,0.0,0.109,0.199,79.909
spotify:track:2lYFdORiu0qCYW2Y59Mn2m,0.821,0.773,-5.827,0.0589,0.111,0.0,0.0732,0.84,116.021
spotify:track:1lNVii0jj5Sa1leKSYWMNl,0.612,0.863,-4.258,0.0426,0.0582,0.0,0.0823,0.637,121.963
spotify:track:15WoYaFanAymIZuebfxvOt,0.657,0.911,-5.072,0.0496,0.122,0.0,0.0479,0.871,87.978
spotify:track:6fIvjDuusQK59brMgHV9qb,0.625,0.826,-5.037,0.0325,0.121,0.0,0.158,0.699,99.919
spotify:track:4W38RXuQNuoTSwVsQA1OGC,0.589,0.704,-4.772,0.0303,0.151,0.0,0.067,0.437,84.956
spotify:track:6JV2JOEocMgcZxYSZelKcc,0.667,0.83,-5.715,0.0749,0.0123,0.0,0.191,0.701,113.03
spotify:track:5kNe7PE09d6Kvw5pAsx23n,0.595,0.389,-9.245,0.0349,0.418,1.39e-06,0.116,0.4,166.052
spotify:track:4FkgULes13bk2eHrsJg4q9,0.562,0.878,-4.806,0.0387,0.0539,0.0,0.112,0.558,103.029
spotify:track:20dJUFrfY0TBZ7HHhJgjsg,0.728,0.892,-5.172,0.126,0.0144,0.0,0.469,0.826,117.976
spotify:track:3TRFq09DUgYj1mug6RRqJW,0.405,0.846,-3.57,0.195,0.0948,0.0,0.0666,0.602,82.232
